CSVNumber,PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,StartDateTime,EndDateTime
1,ED145,,Peanut butter on toast,2021-03-05 00:00:00,23.0,Friday,15:00,15:30,30.0,0.0,2021-03-05 15:00:00,2021-03-05 15:30:00
1,EL642,CW982,,2021-03-05 00:00:00,23.0,Friday,15:30,17:00,90.0,1.0,2021-03-05 15:30:00,2021-03-05 17:00:00
1,L418,,Watched the Covid Briefing,2021-03-05 00:00:00,23.0,Friday,17:00,17:45,45.0,0.0,2021-03-05 17:00:00,2021-03-05 17:45:00
1,T695,UD415,,2021-03-05 00:00:00,23.0,Friday,17:45,21:00,195.0,1.0,2021-03-05 17:45:00,2021-03-05 21:00:00
1,UD415,,,2021-03-05 00:00:00,23.0,Friday,21:00,22:00,60.0,0.0,2021-03-05 21:00:00,2021-03-05 22:00:00
1,S801,,,2021-03-05 00:00:00,23.0,Friday,22:00,08:00,600.0,2.0,2021-03-05 22:00:00,2021-03-05 08:00:00
1,ED145,,,2021-03-06 00:00:00,23.0,Saturday,08:00,08:30,30.0,0.0,2021-03-06 08:00:00,2021-03-06 08:30:00
1,H179,UD415, ,2021-03-06 00:00:00,23.0,Saturday,08:30,10:30,120.0,-1.0,2021-03-06 08:30:00,2021-03-06 10:30:00
1,CW982,,,2021-03-06 00:00:00,23.0,Saturday,10:30,12:00,90.0,-1.0,2021-03-06 10:30:00,2021-03-06 12:00:00
1,ED145,,,2021-03-06 00:00:00,23.0,Saturday,12:00,13:00,60.0,0.0,2021-03-06 12:00:00,2021-03-06 13:00:00
1,CW982,,,2021-03-06 00:00:00,23.0,Saturday,13:00,15:15,135.0,-1.0,2021-03-06 13:00:00,2021-03-06 15:15:00
1,X893,,,2021-03-06 00:00:00,23.0,Saturday,15:15,16:45,90.0,1.0,2021-03-06 15:15:00,2021-03-06 16:45:00
1,L418,,TV,2021-03-06 00:00:00,23.0,Saturday,16:45,18:00,75.0,1.0,2021-03-06 16:45:00,2021-03-06 18:00:00
1,ED145,,Cooked dinner,2021-03-06 00:00:00,23.0,Saturday,18:00,20:00,120.0,-1.0,2021-03-06 18:00:00,2021-03-06 20:00:00
1,ED145,,Ate dinner,2021-03-06 00:00:00,23.0,Saturday,20:00,20:30,30.0,1.0,2021-03-06 20:00:00,2021-03-06 20:30:00
1,L418,UD415,Zoom Quiz,2021-03-06 00:00:00,23.0,Saturday,20:30,22:00,90.0,2.0,2021-03-06 20:30:00,2021-03-06 22:00:00
1,S801,,,2021-03-06 00:00:00,23.0,Saturday,22:00,09:00,660.0,1.0,2021-03-06 22:00:00,2021-03-06 09:00:00
1,UD415,,,2021-03-07 00:00:00,23.0,Sunday,09:00,09:30,30.0,0.0,2021-03-07 09:00:00,2021-03-07 09:30:00
1,X893,,Run with friend,2021-03-07 00:00:00,23.0,Sunday,09:30,10:45,75.0,2.0,2021-03-07 09:30:00,2021-03-07 10:45:00
1,ED145,,Breakfast,2021-03-07 00:00:00,23.0,Sunday,10:45,11:30,45.0,0.0,2021-03-07 10:45:00,2021-03-07 11:30:00
1,L418,,Bubble bath,2021-03-07 00:00:00,23.0,Sunday,11:30,12:30,60.0,1.0,2021-03-07 11:30:00,2021-03-07 12:30:00
1,EL642,,Watched recorded lectures,2021-03-07 00:00:00,23.0,Sunday,12:30,14:30,120.0,-2.0,2021-03-07 12:30:00,2021-03-07 14:30:00
1,ED145,L418,Lunch and watched MOTD,2021-03-07 00:00:00,23.0,Sunday,14:30,15:30,60.0,1.0,2021-03-07 14:30:00,2021-03-07 15:30:00
1,CW982,,,2021-03-07 00:00:00,23.0,Sunday,15:30,17:00,90.0,-1.0,2021-03-07 15:30:00,2021-03-07 17:00:00
1,L418,UD415,Procrastination tbh,2021-03-07 00:00:00,23.0,Sunday,17:00,19:30,150.0,0.0,2021-03-07 17:00:00,2021-03-07 19:30:00
1,ED145,,Ate dinner,2021-03-07 00:00:00,23.0,Sunday,19:30,20:30,60.0,1.0,2021-03-07 19:30:00,2021-03-07 20:30:00
1,L418,,watched TV,2021-03-07 00:00:00,23.0,Sunday,20:30,22:30,120.0,0.0,2021-03-07 20:30:00,2021-03-07 22:30:00
1,S801,,,2021-03-07 00:00:00,23.0,Sunday,22:30,08:15,585.0,1.0,2021-03-07 22:30:00,2021-03-07 08:15:00
2,EL642,UD415,,2021-03-08 00:00:00,24.0,Monday,10:00,12:00,120.0,0.0,2021-03-08 10:00:00,2021-03-08 12:00:00
2,X893,,Going for a walk,2021-03-08 00:00:00,24.0,Monday,12:00,13:00,60.0,1.0,2021-03-08 12:00:00,2021-03-08 13:00:00
2,CW982,,,2021-03-08 00:00:00,24.0,Monday,16:00,19:00,180.0,,2021-03-08 16:00:00,2021-03-08 19:00:00
2,ED145,,,2021-03-08 00:00:00,24.0,Monday,19:00,20:30,90.0,,2021-03-08 19:00:00,2021-03-08 20:30:00
2,UD415,,Watching a movie,2021-03-08 00:00:00,24.0,Monday,21:00,00:00,1260.0,,2021-03-08 21:00:00,2021-03-08 00:00:00
2,S801,,,2021-03-09 00:00:00,24.0,Tuesday,00:00,08:00,480.0,,2021-03-09 00:00:00,2021-03-09 08:00:00
2,X893,,,2021-03-09 00:00:00,24.0,Tuesday,08:00,09:00,60.0,2.0,2021-03-09 08:00:00,2021-03-09 09:00:00
2,CW982,,,2021-03-09 00:00:00,24.0,Tuesday,12:00,17:00,300.0,0.0,2021-03-09 12:00:00,2021-03-09 17:00:00
2,ED145,,Eating a steak,2021-03-09 00:00:00,24.0,Tuesday,17:00,20:00,180.0,2.0,2021-03-09 17:00:00,2021-03-09 20:00:00
2,X893,,Gym time,2021-03-09 00:00:00,24.0,Tuesday,20:00,21:00,60.0,2.0,2021-03-09 20:00:00,2021-03-09 21:00:00
2,R523,,A book,2021-03-09 00:00:00,24.0,Tuesday,21:00,00:00,1260.0,1.0,2021-03-09 21:00:00,2021-03-09 00:00:00
2,S801,,,2021-03-10 00:00:00,24.0,Wednesday,00:00,07:30,450.0,,2021-03-10 00:00:00,2021-03-10 07:30:00
2,UD415,,On the phone,2021-03-10 00:00:00,24.0,Wednesday,07:30,09:00,90.0,2.0,2021-03-10 07:30:00,2021-03-10 09:00:00
2,CW982,,,2021-03-10 00:00:00,24.0,Wednesday,10:00,14:00,240.0,0.0,2021-03-10 10:00:00,2021-03-10 14:00:00
2,ED145,,Eating Pasta,2021-03-10 00:00:00,24.0,Wednesday,14:00,15:00,60.0,2.0,2021-03-10 14:00:00,2021-03-10 15:00:00
2,R523,,,2021-03-10 00:00:00,24.0,Wednesday,15:00,18:00,180.0,0.0,2021-03-10 15:00:00,2021-03-10 18:00:00
2,L418,,,2021-03-10 00:00:00,24.0,Wednesday,18:00,20:00,120.0,,2021-03-10 18:00:00,2021-03-10 20:00:00
2,S801,,,2021-03-10 00:00:00,24.0,Wednesday,20:00,00:00,1200.0,,2021-03-10 20:00:00,2021-03-10 00:00:00
3,ED145,UD415,,2021-03-08 00:00:00,24.0,Monday,11:45,12:15,30.0,,2021-03-08 11:45:00,2021-03-08 12:15:00
3,L418,UD415,,2021-03-08 00:00:00,24.0,Monday,12:15,13:00,45.0,1.0,2021-03-08 12:15:00,2021-03-08 13:00:00
3,UD415,,,2021-03-08 00:00:00,24.0,Monday,13:00,13:30,30.0,,2021-03-08 13:00:00,2021-03-08 13:30:00
3,R523,CW982,,2021-03-08 00:00:00,24.0,Monday,13:30,13:45,15.0,-1.0,2021-03-08 13:30:00,2021-03-08 13:45:00
3,CW982,UD415,,2021-03-08 00:00:00,24.0,Monday,13:45,15:00,75.0,,2021-03-08 13:45:00,2021-03-08 15:00:00
3,EL642,R523,,2021-03-08 00:00:00,24.0,Monday,15:00,16:30,90.0,0.0,2021-03-08 15:00:00,2021-03-08 16:30:00
3,L418,UD415,,2021-03-08 00:00:00,24.0,Monday,16:30,17:15,45.0,1.0,2021-03-08 16:30:00,2021-03-08 17:15:00
3,ED145,H179,,2021-03-08 00:00:00,24.0,Monday,17:15,18:00,45.0,,2021-03-08 17:15:00,2021-03-08 18:00:00
3,CW982,UD415,,2021-03-08 00:00:00,24.0,Monday,18:00,19:00,60.0,,2021-03-08 18:00:00,2021-03-08 19:00:00
3,L418,ED145,,2021-03-08 00:00:00,24.0,Monday,19:00,23:30,270.0,1.0,2021-03-08 19:00:00,2021-03-08 23:30:00
3,S801,,,2021-03-08 00:00:00,24.0,Monday,23:30,12:00,750.0,,2021-03-08 23:30:00,2021-03-08 12:00:00
3,ED145,UD415,,2021-03-09 00:00:00,24.0,Tuesday,12:00,13:00,60.0,0.0,2021-03-09 12:00:00,2021-03-09 13:00:00
3,O733,,,2021-03-09 00:00:00,24.0,Tuesday,13:00,13:15,15.0,,2021-03-09 13:00:00,2021-03-09 13:15:00
3,H179,,,2021-03-09 00:00:00,24.0,Tuesday,13:15,13:30,15.0,0.0,2021-03-09 13:15:00,2021-03-09 13:30:00
3,CW982,R523,,2021-03-09 00:00:00,24.0,Tuesday,13:30,13:45,15.0,-1.0,2021-03-09 13:30:00,2021-03-09 13:45:00
3,CW982,UD415,,2021-03-09 00:00:00,24.0,Tuesday,13:45,15:30,105.0,0.0,2021-03-09 13:45:00,2021-03-09 15:30:00
3,H179,,,2021-03-09 00:00:00,24.0,Tuesday,15:30,15:45,15.0,0.0,2021-03-09 15:30:00,2021-03-09 15:45:00
3,CW982,UD415,,2021-03-09 00:00:00,24.0,Tuesday,15:45,17:00,75.0,-2.0,2021-03-09 15:45:00,2021-03-09 17:00:00
3,ED145,L418,,2021-03-09 00:00:00,24.0,Tuesday,17:00,18:00,60.0,0.0,2021-03-09 17:00:00,2021-03-09 18:00:00
3,CW982,UD415,,2021-03-09 00:00:00,24.0,Tuesday,18:00,18:30,30.0,,2021-03-09 18:00:00,2021-03-09 18:30:00
3,L418,,,2021-03-09 00:00:00,24.0,Tuesday,18:30,19:15,45.0,1.0,2021-03-09 18:30:00,2021-03-09 19:15:00
3,CW982,UD415,,2021-03-09 00:00:00,24.0,Tuesday,19:15,20:00,45.0,0.0,2021-03-09 19:15:00,2021-03-09 20:00:00
3,L418,UD415,,2021-03-09 00:00:00,24.0,Tuesday,20:00,21:30,90.0,2.0,2021-03-09 20:00:00,2021-03-09 21:30:00
3,H179,O733,,2021-03-09 00:00:00,24.0,Tuesday,21:30,22:00,30.0,,2021-03-09 21:30:00,2021-03-09 22:00:00
3,ED145,,,2021-03-09 00:00:00,24.0,Tuesday,22:00,22:30,30.0,,2021-03-09 22:00:00,2021-03-09 22:30:00
3,CW982,UD415,,2021-03-09 00:00:00,24.0,Tuesday,22:30,23:15,45.0,,2021-03-09 22:30:00,2021-03-09 23:15:00
3,S801,,,2021-03-09 00:00:00,24.0,Tuesday,23:15,09:00,585.0,,2021-03-09 23:15:00,2021-03-09 09:00:00
3,UD415,L418,,2021-03-10 00:00:00,24.0,Wednesday,09:00,11:15,135.0,0.0,2021-03-10 09:00:00,2021-03-10 11:15:00
3,O733,,,2021-03-10 00:00:00,24.0,Wednesday,11:15,11:45,30.0,,2021-03-10 11:15:00,2021-03-10 11:45:00
3,ED145,,,2021-03-10 00:00:00,24.0,Wednesday,11:45,12:00,15.0,,2021-03-10 11:45:00,2021-03-10 12:00:00
3,EL642,R523,,2021-03-10 00:00:00,24.0,Wednesday,12:00,14:00,120.0,,2021-03-10 12:00:00,2021-03-10 14:00:00
3,CW982,,,2021-03-10 00:00:00,24.0,Wednesday,14:00,15:00,60.0,0.0,2021-03-10 14:00:00,2021-03-10 15:00:00
3,EL642,,,2021-03-10 00:00:00,24.0,Wednesday,15:00,17:15,135.0,1.0,2021-03-10 15:00:00,2021-03-10 17:15:00
3,ED145,H179,,2021-03-10 00:00:00,24.0,Wednesday,17:15,18:00,45.0,,2021-03-10 17:15:00,2021-03-10 18:00:00
3,CW982,UD415,,2021-03-10 00:00:00,24.0,Wednesday,18:00,20:00,120.0,-1.0,2021-03-10 18:00:00,2021-03-10 20:00:00
3,L418,O733,,2021-03-10 00:00:00,24.0,Wednesday,20:00,20:45,45.0,1.0,2021-03-10 20:00:00,2021-03-10 20:45:00
3,CW982,UD415,,2021-03-10 00:00:00,24.0,Wednesday,20:45,21:00,15.0,,2021-03-10 20:45:00,2021-03-10 21:00:00
3,L418,O733,,2021-03-10 00:00:00,24.0,Wednesday,21:00,22:00,60.0,1.0,2021-03-10 21:00:00,2021-03-10 22:00:00
3,H179,O733,,2021-03-10 00:00:00,24.0,Wednesday,22:00,23:00,60.0,,2021-03-10 22:00:00,2021-03-10 23:00:00
3,S801,,,2021-03-10 00:00:00,24.0,Wednesday,23:00,12:00,780.0,,2021-03-10 23:00:00,2021-03-10 12:00:00
4,ED145,,Tea,2021-02-24 00:00:00,22.0,Wednesday,07:00,07:15,15.0,2.0,2021-02-24 07:00:00,2021-02-24 07:15:00
4,R523,,The Complacent Class - Tyler Cowen,2021-02-24 00:00:00,22.0,Wednesday,07:15,08:00,45.0,2.0,2021-02-24 07:15:00,2021-02-24 08:00:00
4,X893,,Walk and work out,2021-02-24 00:00:00,22.0,Wednesday,08:00,08:45,45.0,2.0,2021-02-24 08:00:00,2021-02-24 08:45:00
4,ED145,,Blueberries and porridge,2021-02-24 00:00:00,22.0,Wednesday,08:45,09:00,15.0,2.0,2021-02-24 08:45:00,2021-02-24 09:00:00
4,O733,,"Shower, teeth and changing clothes",2021-02-24 00:00:00,22.0,Wednesday,09:00,09:15,15.0,1.0,2021-02-24 09:00:00,2021-02-24 09:15:00
4,CW982,,Finish reading the spec and start designing Notion page,2021-02-24 00:00:00,22.0,Wednesday,09:15,12:00,165.0,0.0,2021-02-24 09:15:00,2021-02-24 12:00:00
4,ED145,,Pumpkin pesto pasta with mackerel,2021-02-24 00:00:00,22.0,Wednesday,12:00,12:30,30.0,2.0,2021-02-24 12:00:00,2021-02-24 12:30:00
4,UD415,,Youtube - Veritasium and NBA highlights from last night,2021-02-24 00:00:00,22.0,Wednesday,12:30,13:00,30.0,2.0,2021-02-24 12:30:00,2021-02-24 13:00:00
4,EL642,,Olga Isupova seminar talk,2021-02-24 00:00:00,22.0,Wednesday,13:15,14:15,60.0,1.0,2021-02-24 13:15:00,2021-02-24 14:15:00
4,CW982,,Finish designing this Notion page,2021-02-24 00:00:00,22.0,Wednesday,14:15,16:00,105.0,1.0,2021-02-24 14:15:00,2021-02-24 16:00:00
4,L418,ED145,Study break - cup of tea,2021-02-24 00:00:00,22.0,Wednesday,16:00,16:15,15.0,1.0,2021-02-24 16:00:00,2021-02-24 16:15:00
4,CW982,,Back to finishing this Notion page,2021-02-24 00:00:00,22.0,Wednesday,16:15,17:00,45.0,0.0,2021-02-24 16:15:00,2021-02-24 17:00:00
4,L418,UD415,Listen to music and talk to family,2021-02-24 00:00:00,22.0,Wednesday,17:00,17:30,30.0,2.0,2021-02-24 17:00:00,2021-02-24 17:30:00
4,CW982,,Write up the research question section - learn how to use Overleaf,2021-02-24 00:00:00,22.0,Wednesday,17:30,18:30,60.0,1.0,2021-02-24 17:30:00,2021-02-24 18:30:00
4,ED145,H179,Cook dinner and clean flat,2021-02-24 00:00:00,22.0,Wednesday,18:30,19:30,60.0,,2021-02-24 18:30:00,2021-02-24 19:30:00
4,L418,UD415,Browsing social media and having a chat,2021-02-24 00:00:00,22.0,Wednesday,19:30,20:30,60.0,1.0,2021-02-24 19:30:00,2021-02-24 20:30:00
4,R523,L418,The Complacent Class - Tyler Cowen,2021-02-24 00:00:00,22.0,Wednesday,20:30,22:00,90.0,1.0,2021-02-24 20:30:00,2021-02-24 22:00:00
